text,intent
open youtube,open_app
open youtube please,open_app
open youtube now,open_app
launch youtube,open_app
please launch youtube,open_app
play youtube,open_app
i want to play youtube,open_app
just play youtube,open_app
please youtube open,open_app
i want to open youtube please,open_app
hey open youtube please,open_app
can you open youtube,open_app
open you can youtube,open_app
youtube you open can,open_app
can you open youtube now,open_app
start youtube,open_app
i want to start youtube,open_app
start youtube quickly,open_app
go to youtube,open_app
go to youtube right now,open_app
go youtube to,open_app
could you go to youtube,open_app
open youtube for me,open_app
open me for youtube,open_app
could you open youtube for me,open_app
i want to watch youtube,open_app
i watch to want youtube,open_app
please i want to watch youtube,open_app
want to watch youtube,open_app
take me to youtube,open_app
take me to youtube right now,open_app
take me youtube,open_app
i want to take me to youtube,open_app
play a video,play_video
play a video right now,play_video
just play a video,play_video
play a video quickly,play_video
play some video,play_video
just play some video,play_video
play some,play_video
play a youtube video,play_video
just play a youtube video,play_video
play a youtube video quickly,play_video
play youtube video,play_video
play video please,play_video
play video please please,play_video
play please video,play_video
play video,play_video
i want to watch a video,play_video
i a to watch want video,play_video
could you i want to watch a video,play_video
i want to a video,play_video
play something on youtube,play_video
play something on,play_video
play something on youtube right now,play_video
play something youtube on,play_video
show me a video,play_video
me a video,play_video
show video a me,play_video
a me show video,play_video
can you play a video,play_video
video you play a can,play_video
can you play a video now,play_video
just can you play a video,play_video
play any video,play_video
video any play,play_video
play video any,play_video
play any video quickly,play_video
start playing a video,play_video
start playing a,play_video
start playing video,play_video
start playing a video right now,play_video
set alarm for 7am,set_alarm
set alarm for 7am quickly,set_alarm
i want to set alarm for 7am,set_alarm
set an alarm,set_alarm
set alarm,set_alarm
an alarm,set_alarm
set an alarm please,set_alarm
wake me up at 7,set_alarm
me up at 7,set_alarm
wake me up at,set_alarm
wake me up at 7 now,set_alarm
set alarm 8 am,set_alarm
set alarm 8 am please,set_alarm
set alarm am 8,set_alarm
i want to set alarm 8 am,set_alarm
alarm at 6 in the morning,set_alarm
alarm the 6 in at morning,set_alarm
alarm at 6 in the morning right now,set_alarm
alarm 6 in the morning,set_alarm
create an alarm,set_alarm
alarm an create,set_alarm
create alarm an,set_alarm
create an alarm please,set_alarm
i need an alarm for tomorrow,set_alarm
i need an alarm for,set_alarm
i need an alarm tomorrow,set_alarm
need an alarm for tomorrow,set_alarm
set morning alarm,set_alarm
alarm morning set,set_alarm
please set morning alarm,set_alarm
set morning,set_alarm
put alarm for 9,set_alarm
hey put alarm for 9,set_alarm
put alarm 9,set_alarm
put alarm for 9 for me,set_alarm
remind me to wake up at 7,set_alarm
remind to wake up at 7,set_alarm
remind me to wake 7 at up,set_alarm
to me remind wake up at 7,set_alarm
remind me to take medicine,medicine_reminder
remind me to take,medicine_reminder
remind me to take medicine please,medicine_reminder
remind to take medicine,medicine_reminder
medicine reminder please,medicine_reminder
please reminder medicine,medicine_reminder
reminder please,medicine_reminder
medicine reminder please quickly,medicine_reminder
did i take my medicine,medicine_reminder
did i my medicine,medicine_reminder
did i take my medicine for me,medicine_reminder
when is my medicine,medicine_reminder
when is my medicine for me,medicine_reminder
when is my,medicine_reminder
when my is medicine,medicine_reminder
medicine time,medicine_reminder
medicine time for me,medicine_reminder
remind me about my pills,medicine_reminder
remind me about my pills quickly,medicine_reminder
please remind me about my pills,medicine_reminder
me about my pills,medicine_reminder
have i taken my medication,medicine_reminder
have i taken my medication now,medicine_reminder
have i taken medication,medicine_reminder
medicine schedule,medicine_reminder
hey medicine schedule,medicine_reminder
medicine schedule right now,medicine_reminder
what time is my medicine,medicine_reminder
what time is my medicine now,medicine_reminder
what my is time medicine,medicine_reminder
what time my medicine,medicine_reminder
pill reminder,medicine_reminder
pill reminder quickly,medicine_reminder
what time is it,check_time
what it is time,check_time
what time it is,check_time
what time is it now,check_time
tell me the time,check_time
tell the me time,check_time
tell time the me,check_time
tell me the time please,check_time
current time,check_time
current time please,check_time
current time right now,check_time
what is the time right now,check_time
hey what is the time right now,check_time
can you what is the time right now,check_time
what is the right now,check_time
can you tell me the time,check_time
can you tell me the,check_time
just can you tell me the time,check_time
can you tell me the time for me,check_time
time please,check_time
what time,check_time
what time right now,check_time
could you what time,check_time
what time quickly,check_time
give me the time,check_time
give me the time now,check_time
give me the time right now,check_time
what's the time,check_time
what's time,check_time
could you what's the time,check_time
what's time the,check_time
do you know the time,check_time
do you the know time,check_time
just do you know the time,check_time
what is today's date,check_date
please what is today's date,check_date
what is today's date quickly,check_date
tell me the date,check_date
tell me the date please,check_date
tell date the me,check_date
tell me the,check_date
what day is it,check_date
could you what day is it,check_date
please what day is it,check_date
hey what day is it,check_date
today's date,check_date
can you today's date,check_date
today's date now,check_date
current date,check_date
current date for me,check_date
could you current date,check_date
what is the date today,check_date
could you what is the date today,check_date
what is the today,check_date
please what is the date today,check_date
which day is today,check_date
just which day is today,check_date
i want to which day is today,check_date
hey which day is today,check_date
date please,check_date
please date please,check_date
i want to date please,check_date
tell me today's date,check_date
tell today's me date,check_date
today's me tell date,check_date
tell date today's me,check_date
what month is it,check_date
what month is it for me,check_date
hey what month is it,check_date
what month is it right now,check_date
what is the weather,check_weather
what is the weather right now,check_weather
what is weather,check_weather
hey what is the weather,check_weather
how is the weather today,check_weather
how is the weather today quickly,check_weather
